hip,ra,dec,mag,bv,name,designation
32349,101.2872,-16.7161,-1.44,0.01,Sirius,Alpha CMa
30438,95.988,-52.6957,-0.62,0.16,Canopus,Alpha Car
69673,213.9153,19.1824,-0.05,1.24,Arcturus,Alpha Boo
71683,219.9021,-60.834,-0.01,0.71,Rigil Kentaurus,α1 Cen
91262,279.2347,38.7837,0.03,-0.0,Vega,Alpha Lyr
24608,79.1723,45.998,0.08,0.8,Capella,Alpha Aur
24436,78.6345,-8.2016,0.18,-0.03,Rigel,Beta Ori
37279,114.8255,5.225,0.4,0.43,Procyon,Alpha CMi
7588,24.4285,-57.2368,0.45,-0.16,Achernar,Alpha Eri
27989,88.7929,7.4071,0.45,1.5,Betelgeuse,Alpha Ori
68702,210.9559,-60.373,0.61,-0.23,Hadar,Beta Cen
97649,297.6958,8.8683,0.76,0.22,Altair,Alpha Aql
60718,186.6496,-63.0991,0.77,-0.24,Acrux,α1 Cru
21421,68.9802,16.5093,0.87,1.54,Aldebaran,Alpha Tau
65474,201.2982,-11.1613,0.98,-0.23,Spica,Alpha Vir
80763,247.3519,-26.432,1.06,1.86,Antares,Alpha Sco
37826,116.329,28.0262,1.16,0.99,Pollux,Beta Gem
113368,344.4127,-29.6222,1.17,0.14,Fomalhaut,Alpha PsA
62434,191.9303,-59.6888,1.25,-0.24,Mimosa,Beta Cru
102098,310.358,45.2803,1.25,0.09,Deneb,Alpha Cyg
71681,219.8962,-60.8372,1.35,0.9,Toliman,α2 Cen
49669,152.093,11.9672,1.36,-0.09,Regulus,Alpha Leo
33579,104.6565,-28.9721,1.5,-0.21,Adhara,Epsilon CMa
36850,113.6494,31.8883,1.58,0.03,Castor,Alpha Gem
61084,187.7915,-57.1132,1.59,1.6,Gacrux,Gamma Cru
85927,263.4022,-37.1038,1.62,-0.23,Shaula,Lambda Sco
25336,81.2828,6.3497,1.64,-0.22,Bellatrix,Gamma Ori
25428,81.573,28.6075,1.65,-0.13,Elnath,Beta Tau
45238,138.2999,-69.7172,1.67,0.07,Miaplacidus,Beta Car
26311,84.0534,-1.2019,1.69,-0.18,Alnilam,Epsilon Ori
109268,332.0583,-46.961,1.73,-0.07,Alnair,Alpha Gru
26727,85.1897,-1.9426,1.74,-0.2,Alnitak,Zeta Ori
39953,122.3831,-47.3366,1.75,-0.14,Regor,γ2 Vel
62956,193.5073,55.9598,1.76,-0.02,Alioth,Epsilon UMa
15863,51.0807,49.8612,1.79,0.48,Mirfak,Alpha Per
90185,276.043,-34.3846,1.79,-0.03,Kaus Australis,Epsilon Sgr
54061,165.932,61.751,1.81,1.06,Dubhe,Alpha UMa
34444,107.0979,-26.3932,1.83,0.67,Wezen,Delta CMa
67301,206.8852,49.3133,1.85,-0.1,Alkaid,Eta UMa
41037,125.6285,-59.5095,1.86,1.2,Avior,Epsilon Car
